date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:48	13912/13912	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:41%20GMT	https://www.dolunaycraft.com/carkifelek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/carkifelek	(from https://www.dolunaycraft.com/etiket/beta)
14:08:49	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:43%20GMT	https://www.dolunaycraft.com/destek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/destek	(from https://www.dolunaycraft.com/etiket/beta)
14:08:50	28663/28663	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2011:08:43%20GMT	https://www.dolunaycraft.com/etiket/beta/0	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/etiket/beta/0.html	(from https://www.dolunaycraft.com/etiket/beta)
14:08:50	28663/28663	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2011:08:43%20GMT	https://www.dolunaycraft.com/etiket/beta/1	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/etiket/beta/1.html	(from https://www.dolunaycraft.com/etiket/beta)
14:08:52	28663/28663	---MCZ	200	added ('OK')	text/html	date:Fri,%2025%20Dec%202020%2011:08:45%20GMT	https://www.dolunaycraft.com/etiket/beta/2	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/etiket/beta/2.html	(from https://www.dolunaycraft.com/etiket/beta)
14:08:52	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:46%20GMT	https://www.dolunaycraft.com/kredi/gonder	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/kredi/gonder	(from https://www.dolunaycraft.com/kategori/duyuru/0)
14:08:54	13912/13912	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:47%20GMT	https://www.dolunaycraft.com/carkifelek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/carkifelek	(from https://www.dolunaycraft.com/kategori/duyuru/0)
14:08:54	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:48%20GMT	https://www.dolunaycraft.com/destek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/destek	(from https://www.dolunaycraft.com/kategori/duyuru/0)
14:08:55	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:48%20GMT	https://www.dolunaycraft.com/kredi/gonder	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/kredi/gonder	(from https://www.dolunaycraft.com/kategori/duyuru/1)
14:08:56	13912/13912	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:50%20GMT	https://www.dolunaycraft.com/carkifelek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/carkifelek	(from https://www.dolunaycraft.com/kategori/duyuru/1)
14:08:57	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:50%20GMT	https://www.dolunaycraft.com/destek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/destek	(from https://www.dolunaycraft.com/kategori/duyuru/1)
14:08:58	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:52%20GMT	https://www.dolunaycraft.com/kredi/gonder	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/kredi/gonder	(from https://www.dolunaycraft.com/kategori/duyuru/2)
14:08:59	13912/13912	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:52%20GMT	https://www.dolunaycraft.com/carkifelek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/carkifelek	(from https://www.dolunaycraft.com/kategori/duyuru/2)
14:09:00	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:54%20GMT	https://www.dolunaycraft.com/destek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/destek	(from https://www.dolunaycraft.com/kategori/duyuru/2)
14:09:01	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:54%20GMT	https://www.dolunaycraft.com/kredi/gonder	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/kredi/gonder	(from https://www.dolunaycraft.com/oyuncu/asigolge)
14:09:01	13912/13912	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:55%20GMT	https://www.dolunaycraft.com/carkifelek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/carkifelek	(from https://www.dolunaycraft.com/oyuncu/asigolge)
14:09:02	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:55%20GMT	https://www.dolunaycraft.com/destek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/destek	(from https://www.dolunaycraft.com/oyuncu/asigolge)
14:09:03	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:57%20GMT	https://www.dolunaycraft.com/kredi/gonder	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/kredi/gonder	(from https://www.dolunaycraft.com/etiket/dolunaycraft/0)
14:09:04	13912/13912	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:57%20GMT	https://www.dolunaycraft.com/carkifelek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/carkifelek	(from https://www.dolunaycraft.com/etiket/dolunaycraft/0)
14:09:04	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:58%20GMT	https://www.dolunaycraft.com/destek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/destek	(from https://www.dolunaycraft.com/etiket/dolunaycraft/0)
14:09:05	13568/13568	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:58%20GMT	https://www.dolunaycraft.com/kredi/gonder	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/kredi/gonder	(from https://www.dolunaycraft.com/etiket/dolunaycraft/1)
14:09:05	13912/13912	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:59%20GMT	https://www.dolunaycraft.com/carkifelek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/carkifelek	(from https://www.dolunaycraft.com/etiket/dolunaycraft/1)
14:09:06	13567/13567	---MC-	302	error ('Found')	text/html	date:Fri,%2025%20Dec%202020%2011:08:59%20GMT	https://www.dolunaycraft.com/destek	C:/Benim%20Web%20Sitem/BossKing%20Web/www.dolunaycraft.com/destek	(from https://www.dolunaycraft.com/etiket/dolunaycraft/1)
